IATA Code	ICAO Code	Airport Name	City Name	Country Code	Country Name	Number of Runways																																																																																																																																																																																																																																																									
PSS	SARP	POSADAS	Posadas	ARG	Argentina	1																																																																																																																																																																																																																																																									
PRQ	SARS	PRESIDENCIA ROQUE SAENZ PENA	Presidencia Roque Saenz Pena	ARG	Argentina	1																																																																																																																																																																																																																																																									
PUD	SAWD	PUERTO DESEADO	Puerto Deseado	ARG	Argentina	1																																																																																																																																																																																																																																																									
PMY	SAVY	EL TEHUELCHE	Puerto Madryn	ARG	Argentina	1																																																																																																																																																																																																																																																									
ULA	SAWJ	CAPITAN JOSE DANIEL VAZQUEZ	Puerto San Julian	ARG	Argentina	1																																																																																																																																																																																																																																																									
RZA	SAWU	SANTA CRUZ	Puerto Santa Cruz	ARG	Argentina	1																																																																																																																																																																																																																																																									
RCQ	SATR	RECONQUISTA	Reconquista	ARG	Argentina	2																																																																																																																																																																																																																																																									
RES	SARE	RESISTENCIA	Resistencia	ARG	Argentina	1																																																																																																																																																																																																																																																									
RCU	SAOC	RIO CUARTO AREA DE MATERIAL	Rio Cuarto	ARG	Argentina	2																																																																																																																																																																																																																																																									
RGL	SAWG	RIO GALLEGOS	Rio Gallegos	ARG	Argentina	1																																																																																																																																																																																																																																																									
RGA	SAWE	RIO GRANDE	Rio Grande	ARG	Argentina	1																																																																																																																																																																																																																																																									
ROY	SAWM	RIO MAYO	Rio Mayo	ARG	Argentina	2																																																																																																																																																																																																																																																									
RYO	SAWT	RIO TURBIO	Rio Turbio	ARG	Argentina	1																																																																																																																																																																																																																																																									
ROS	SAAR	ROSARIO ISLAS MALVINAS INTL	Rosario (AR)	ARG	Argentina	1																																																																																																																																																																																																																																																									
SLA	SASA	SALTA	Salta	ARG	Argentina	2																																																																																																																																																																																																																																																									
OES	SAVN	ANTOINE DE SAINT EXUPERY 	San Antonio Oeste	ARG	Argentina	1																																																																																																																																																																																																																																																									
BRC	SAZS	SAN CARLOS DE BARILOCHE	San Carlos Bariloche	ARG	Argentina	1																																																																																																																																																																																																																																																									
UAQ	SANU	SAN JUAN	San Juan (AR)	ARG	Argentina	1																																																																																																																																																																																																																																																									
LUQ	SAOU	SAN LUIS	San Luis	ARG	Argentina	2																																																																																																																																																																																																																																																									
CPC	SAZY	AVIADOR C CAMPOS	San Martin los Andes	ARG	Argentina	1																																																																																																																																																																																																																																																									
AFA	SAMR	SAN RAFAEL	San Rafael	ARG	Argentina	1																																																																																																																																																																																																																																																									
SFN	SAAV	SAUCE VIEJO	Santa Fe (AR)	ARG	Argentina	1																																																																																																																																																																																																																																																									
RSA	SAZR	SANTA ROSA	Santa Rosa (AR)	ARG	Argentina	3																																																																																																																																																																																																																																																									
RLO	SAOS	VALLE DEL CONLARA	Santa Rosa de Conlara	ARG	Argentina	1																																																																																																																																																																																																																																																									
SST	SAZL	SANTA TERESITA	Santa Teresita	ARG	Argentina	1																																																																																																																																																																																																																																																									
SDE	SANE	SANTIAGO DEL ESTERO	Santiago del Estero	ARG	Argentina	1																																																																																																																																																																																																																																																									
RHD	SANR	TERMAS DE RIO HONDO INTL	Termas de Rio Hondo	ARG	Argentina	1																																																																																																																																																																																																																																																									
REL	SAVT	ALMIRANTE ZAR	Trelew	ARG	Argentina	1																																																																																																																																																																																																																																																									
TUC	SANT	TENIENTE BENJAMIN MATIENZO	Tucuman	ARG	Argentina	1																																																																																																																																																																																																																																																									
USH	SAWH	USHUAIA MALVINAS ARGENTINAS	Ushuaia	ARG	Argentina	1																																																																																																																																																																																																																																																									
VDM	SAVV	GOBERNADOR CASTELLO	Viedma	ARG	Argentina	2																																																																																																																																																																																																																																																									
VLG	SAZV	VILLA GESELL	Villa Gesell	ARG	Argentina	1																																																																																																																																																																																																																																																									
VME	SAOR	VILLA REYNOLDS	Villa Mercedes	ARG	Argentina	1																																																																																																																																																																																																																																																									
LWN	UDSG	GYUMRI	Gyumri	ARM	Armenia	1																																																																																																																																																																																																																																																									
EVN	UDYZ	ZVARTNOTS	Yerevan	ARM	Armenia	1																																																																																																																																																																																																																																																									
ADL	YPAD	ADELAIDE INTL	Adelaide	AUS	Australia	2																																																																																																																																																																																																																																																									
ALH	YABA	ALBANY	Albany	AUS	Australia	2																																																																																																																																																																																																																																																									
ABX	YMAY	ALBURY	Albury	AUS	Australia	1																																																																																																																																																																																																																																																									
ASP	YBAS	ALICE SPRINGS	Alice Springs	AUS	Australia	2																																																																																																																																																																																																																																																									
ADO	YAMK	ANDAMOOKA	Andamooka	AUS	Australia	2																																																																																																																																																																																																																																																									
GYL	YARG	ARGYLE	Argyle	AUS	Australia	1																																																																																																																																																																																																																																																									
ARM	YARM	ARMIDALE	Armidale	AUS	Australia	2																																																																																																																																																																																																																																																									
AAB	YARY	ARRABURY	Arrabury	AUS	Australia	1																																																																																																																																																																																																																																																									
AUU	YAUR	AURUKUN	Aurukun	AUS	Australia	1																																																																																																																																																																																																																																																									
AYQ	YAYE	AYERS ROCK CONNELLAN	Ayers Rock	AUS	Australia	1																																																																																																																																																																																																																																																									
BDD	YBAU	BADU ISLAND	Badu Island	AUS	Australia	1																																																																																																																																																																																																																																																									
